"Species" "BodyL" "WingL" "TailL" "BeakW" "BeakH" "LBeakL" "UBeakL" "N.UBkL" "TarsusL"
"Geospiza heliobates " 123 72 48.5 6.5 9 8 15 10.3 21.5
"Geospiza heliobates " 126 70 48.5 7 8 8 15 11 21.5
"Geospiza heliobates " 133 71.5 45 6.5 8 8.5 15.5 10.5 23.5
"Geospiza heliobates " 127 69 39 6.5 8 8 15 10.5 21.5
"Geospiza heliobates " 122 71 42 6.7 8.3 7.5 15 10 21.5
"Geospiza heliobates " 128 72 43 6.5 8.7 8 15 10 21.5
"Geospiza heliobates " 125 73 43 7 9 7.7 15 10 22
"Geospiza heliobates " 129 74 45.5 7 8.5 7.7 15 9.5 22.3
"Geospiza heliobates " 128 73 50 6.7 8.3 8 15 10 23
"Geospiza heliobates " 137 67.5 46 7 8 8 15.5 10.5 20
"Geospiza heliobates " 132 69.5 42.5 6.7 8 7.5 15.3 10 22
"Geospiza heliobates " 138 71 44 7 9 9 15 11.5 22.5
"Geospiza heliobates " 112 70 42 6.7 7.7 8 14.5 10 21
"Geospiza heliobates " 142 70 42.5 6.7 8 8.7 15 11 21.7
"Geospiza heliobates " 136 68 41.5 6 7.5 8.5 15 10 21
"Geospiza heliobates " 120 70 45 7 8.7 8 14 10 22
"Geospiza heliobates " 125 69 46 7 9 8 15.3 10.5 21.5
"Geospiza heliobates " 122 68 44 6.5 8 7.7 15 9.7 22
"Geospiza heliobates " 123 69 51.5 7 8.7 8 15 10.3 22
"Geospiza prosthemelas prosthemelas" 115 62 38 6 8.5 6 11.5 7.5 20
"Geospiza prosthemelas prosthemelas" 110 61 36 6 8 5.5 11 7 20
"Geospiza prosthemelas prosthemelas" 113 61 39 6.5 8 5.5 10.7 7 20.5
"Geospiza prosthemelas prosthemelas" 121 61 39 6.5 8.5 6 11.5 8 20.5
"Geospiza prosthemelas prosthemelas" 110 64 37.5 6.5 8.3 5.7 11 7 20.7
"Geospiza prosthemelas prosthemelas" 116 60 39 6.3 8 5.5 11 7 20
"Geospiza prosthemelas prosthemelas" 113 62.5 41 6.5 8 5.5 12 7 21
"Geospiza prosthemelas prosthemelas" 110 62 44 6.3 8 5.7 11.3 7 20
"Geospiza prosthemelas prosthemelas" 117 60 43 5.5 7.7 5.3 11 7 19.5
