"Source" "IslandID" "TaxonOrig" "GenusL69" "SpeciesL69" "SubspL69" "SpeciesID" "SubspID" "Sex" "Plumage" "BodyL" "WingL" "TailL" "BeakW" "BeakH" "LBeakL" "UBeakL" "N.UBkL" "TarsusL" "MToeL"
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza heliobates " "Camarhynchus" "heliobates" "" "Cam.hel" "Cam.hel" "M" NA 137 69.5 44.5 7 9.25 8.5 15.5 "11" 21.5 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza heliobates " "Camarhynchus" "heliobates" "" "Cam.hel" "Cam.hel" "M" NA 132 73.5 46 7.5 8.5 8.25 15.5 "10.5" 21 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza heliobates " "Camarhynchus" "heliobates" "" "Cam.hel" "Cam.hel" "M" NA 128 72 47 7 8 8 15 "10" 23 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza heliobates " "Camarhynchus" "heliobates" "" "Cam.hel" "Cam.hel" "M" NA 127 71 49 7 9 8 15 "10.5" 22 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza heliobates " "Camarhynchus" "heliobates" "" "Cam.hel" "Cam.hel" "F" NA 130 70.5 40.5 7 9.5 8.3 15 "10" 21.5 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza heliobates " "Camarhynchus" "heliobates" "" "Cam.hel" "Cam.hel" "F" NA 157 71 40.5 7 8.5 8 15.5 "10.5" 20.5 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza heliobates " "Camarhynchus" "heliobates" "" "Cam.hel" "Cam.hel" "F" NA 133 73 53 7 9 8 15.3 "11" 23 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza heliobates " "Camarhynchus" "heliobates" "" "Cam.hel" "Cam.hel" "M" NA 123 72 48.5 6.5 9 8 15 "10.3" 21.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza heliobates " "Camarhynchus" "heliobates" "" "Cam.hel" "Cam.hel" "M" NA 126 70 48.5 7 8 8 15 "11" 21.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza heliobates " "Camarhynchus" "heliobates" "" "Cam.hel" "Cam.hel" "M" NA 133 71.5 45 6.5 8 8.5 15.5 "10.5" 23.5 NA
